IDs,smiles
BACE_1,CCCCNC(=O)[C@H](C)C[C@@H]([C@@H]1C[C@@H](CCCCCN(C(=O)c2cc(cc(c2)OCC)C(=O)N1)CC)C)O
BACE_2,c1cc(C(C)C)cc(c12)[C@H](CC(O2)(C)C)NC[C@@H](O)[C@@H](NC(=O)[C@@H]3C)C[C@H](C)CCCCCCCCC(=O)N3C
BACE_3,c1ccc(C(C)C)cc1CNCC(O)(O)[C@@H](NC(=O)[C@@H]2C)C[C@H](C)CCCCCCCCC(=O)N2C
BACE_4,C[C@@H]1CCCCCCOCC(=O)N([C@H](C(=O)N[C@@H](C1)[C@@H](CNC2(CC2)c3cccc(c3)C(C)(C)C)O)C)C
BACE_5,CCCc1cc(n[nH]1)CNC[C@H]([C@@H]2C[C@@H](CCCCCCOCC(=O)N([C@H](C(=O)N2)C)C)C)O
BACE_6,CCN1CCCCC[C@H](C[C@H](NC(=O)c2cccc(c2)C1=O)[C@@H](CNCc3cccc(c3)C(C)C)O)C
BACE_7,C[C@@H]1CCCCCN(C(=O)c2cc(cc(c2)C(=O)N[C@@H](C1)[C@@H](CNCc3cccc(c3)C(C)C)O)c4ncco4)[C@H](C)c5ccccc5
BACE_8,C[C@@H]1CCOCCCCNc2cc(cc(n2)Cl)C(=O)N[C@@H](C1)[C@@H](CNCc3cccc(c3)C(C)C)O
BACE_9,C[C@@H]1CCCCCCCNc2cc(cc(c2)C(=O)N[C@@H](C1)[C@@H](CNCc3cccc(c3)C(C)C)O)COC
BACE_10,C[C@@H]1CCOCCCCNc2cc(cc(c2)C(=O)N[C@@H](C1)[C@@H](CNCc3cccc(c3)C(C)C)O)COC
BACE_11,C[C@H]1C(=O)N[C@@H](Cc2cccc(c2)OCCCCCC(=O)N1C)[C@@H](CNCc3cccc(c3)C(C)C)O
BACE_12,CC(C)c1cccc(c1)CNC[C@H]([C@@H]2Cc3cccc(c3)CCCCNc4cc(cc(n4)OC)C(=O)N2)O
BACE_13,COCc1cc2cc(c1)NCCCCOc3cccc(c3)C[C@H](NC2=O)[C@@H]([C@H]4CO[C@H](CN4)COC)O
BACE_14,CC(C)c1cccc(c1)C2(CC2)NC[C@H]([C@@H]3Cc4cccc(c4)OCCCCNc5cc(cc(c5)C(=O)C)C(=O)N3)O
BACE_15,CC(C)c1cccc(c1)CNC[C@H]([C@@H]2Cc3cccc(c3)OCCCCOc4cc(cc(c4)C(=O)N2)COC)O
BACE_16,CC(C)c1cccc(c1)CNC[C@H]([C@@H]2Cc3cccc(c3)OCCCCOc4cc(cc(c4)OCC(=O)C)C(=O)N2)O
BACE_17,CN(C)C(=O)c(c1)cc(cc12)C(=O)N[C@H]([C@@H](O)CO)Cc3cc(ccc3)OCCCCO2
BACE_18,OC[C@H](O)[C@@H](NC1=O)C[C@H](C)CCCCCCCOc(cc12)cc(c2)C(=O)N(C)C
BACE_19,CCCCNC(=O)[C@H](C)C[C@@H]([C@@H]1C[C@@H](CCc2cccc(c2)CS(=O)(=O)C[C@H](C(=O)N1)C)C)O
BACE_20,CCCCNc1cc(cc(n1)OC)C(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@@H](C)C(=O)NCCCC)O
